,ID,Date,Company,Title,Link
123,J38IppJEzXmZqJq4fulv7Q==,10/28/2021,Gojek,research lead,https://vn.linkedin.com/jobs/view/research-lead-at-gojek-2714549316?refId=wt7DcJYa0N9gFu67C48WdA%3D%3D&trackingId=J38IppJEzXmZqJq4fulv7Q%3D%3D&position=1&pageNum=3&trk=public_jobs_jserp-result_search-card
124,Aac1RwdFfWsRkuPi4FMQ0g==,10/14/2021,HTI Group,artificial intelligence engineer,https://vn.linkedin.com/jobs/view/artificial-intelligence-engineer-at-hti-group-2750164868?refId=wt7DcJYa0N9gFu67C48WdA%3D%3D&trackingId=Aac1RwdFfWsRkuPi4FMQ0g%3D%3D&position=5&pageNum=3&trk=public_jobs_jserp-result_search-card
125,EgPZcRnnI81JLk+MEixMUQ==,10/7/2021,CIBC,business systems analyst,https://vn.linkedin.com/jobs/view/business-systems-analyst-at-cibc-2748231789?refId=wt7DcJYa0N9gFu67C48WdA%3D%3D&trackingId=EgPZcRnnI81JLk%2BMEixMUQ%3D%3D&position=9&pageNum=3&trk=public_jobs_jserp-result_search-card
126,cxP2z3DZMmBh42djrORWwg==,10/21/2021,Techcombank (TCB),senior/ data architect,https://vn.linkedin.com/jobs/view/senior-data-architect-at-techcombank-tcb-2758179004?refId=wt7DcJYa0N9gFu67C48WdA%3D%3D&trackingId=cxP2z3DZMmBh42djrORWwg%3D%3D&position=10&pageNum=3&trk=public_jobs_jserp-result_search-card
127,3GdJiFxXzpsJUQCqWSIINQ==,11/1/2021,Microsoft,azure specialist - data/ai,https://vn.linkedin.com/jobs/view/azure-specialist-data-ai-at-microsoft-2779364650?refId=wt7DcJYa0N9gFu67C48WdA%3D%3D&trackingId=3GdJiFxXzpsJUQCqWSIINQ%3D%3D&position=14&pageNum=3&trk=public_jobs_jserp-result_search-card
128,NYTee6WayarXl2zv2b+iDg==,10/6/2021,EasySalon,chief technology officer,https://vn.linkedin.com/jobs/view/chief-technology-officer-at-easysalon-2738908187?refId=wt7DcJYa0N9gFu67C48WdA%3D%3D&trackingId=NYTee6WayarXl2zv2b%2BiDg%3D%3D&position=17&pageNum=3&trk=public_jobs_jserp-result_search-card
129,iX9OISkDqopUmtI9CpLcHA==,10/28/2021,Techcombank (TCB),"senior manager, data modelling",https://vn.linkedin.com/jobs/view/senior-manager-data-modelling-at-techcombank-tcb-2715529383?refId=wt7DcJYa0N9gFu67C48WdA%3D%3D&trackingId=iX9OISkDqopUmtI9CpLcHA%3D%3D&position=20&pageNum=3&trk=public_jobs_jserp-result_search-card
130,,9/20/2021,F88,data analyst,https://vn.linkedin.com/jobs/view/data-analyst-at-f88-2756595004?refId=wt7DcJYa0N9gFu67C48WdA%3D%3D&trackingId=pz3oHUCyyF1QxHQd%2Bio8zw%3D%3D&position=21&pageNum=3&trk=public_jobs_jserp-result_search-card
131,wyIVhSymMxjmICJQDs1SoQ==,10/21/2021,"EWAY.,JSC",ai engineer,https://vn.linkedin.com/jobs/view/ai-engineer-at-eway-jsc-2756290728?refId=wt7DcJYa0N9gFu67C48WdA%3D%3D&trackingId=wyIVhSymMxjmICJQDs1SoQ%3D%3D&position=24&pageNum=3&trk=public_jobs_jserp-result_search-card
132,emd8cCXc76eZIOvlT6r9eA==,10/12/2021,McDonald's Vietnam,customer & business insights analyst (quantitative),https://vn.linkedin.com/jobs/view/customer-business-insights-analyst-quantitative-at-mcdonald-s-vietnam-2746684336?refId=wt7DcJYa0N9gFu67C48WdA%3D%3D&trackingId=emd8cCXc76eZIOvlT6r9eA%3D%3D&position=25&pageNum=3&trk=public_jobs_jserp-result_search-card
