,Title,Company,Location,Link,Review
83,"new
Operations/Project Coordinator",Solink,"Ottawa, ON",https://ca.indeed.com/rc/clk?jk=0ca8af068d008878&fccid=f040d89f5311dfe7&vjs=3,None
84,"new
Administrative Assistant to City Clerk",City of Cambridge,"Cambridge, ON",https://ca.indeed.com/rc/clk?jk=949dbb0f3eba0a35&fccid=c5e0359de7444a72&vjs=3,4.2
85,Director Consulting – Data & Analytics,Cognizant Technology Solutions,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=41ca160ddf1bd540&fccid=2df6a1e69a70a1e7&vjs=3,3.9
86,Data Analytics Specialist,EATON,"Burlington, ON",https://ca.indeed.com/rc/clk?jk=c4fcf7d56b6ec6aa&fccid=87f38351bd29de24&vjs=3,3.8
87,"new
Jr. Biomedical Engineer",Parados Cerebral Solutions,"Fredericton, NB",https://ca.indeed.com/rc/clk?jk=372ba8b1eccf08fb&fccid=dd616958bd9ddc12&vjs=3,None
88,Specialist Loyalty Analytics,Sobeys,"Mississauga, ON",https://ca.indeed.com/rc/clk?jk=502efc6a5c4ea5e3&fccid=2b30af762655480b&vjs=3,3.6
89,"new
Director, Health Analytics",Ontario Health,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=8833e4d7b67f9d08&fccid=942edb5b2679caa0&vjs=3,4.0
90,Data and Analytics (D&A) Data Engineer,Roche,"Mississauga, ON",https://ca.indeed.com/rc/clk?jk=53626b21498e7a96&fccid=bca1c8ed48c3b338&vjs=3,4.2
91,Part-Time Data Analytics Instructor,Adecco Group Internal,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=b1232aecf98119d8&fccid=0d511cbaa452dbfb&vjs=3,None
92,Cyber Security Analyst,Arup,"Toronto, ON•Remote",https://ca.indeed.com/rc/clk?jk=402d57d3cc6ac595&fccid=38c0d5e4f2a99768&vjs=3,4.1
93,"new
Analytics and Automation, Risk Assurance",PwC,"Ottawa, ON",https://ca.indeed.com/rc/clk?jk=6ffddace86ebe62d&fccid=5e964c4afc56b180&vjs=3,4.0
94,"new
Customer Success Operation Specialist",KEV Group,Remote,https://ca.indeed.com/rc/clk?jk=2ae12aa187c5df6d&fccid=1402c3555d7c8f4e&vjs=3,3.5
95,Digital Ecosystems Specialist (Analytics-Focused),DRVN Intelligence,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=e14686d6406a7f50&fccid=4c22ae79cf9a9685&vjs=3,None
96,"new
Educational Assistant",Edmonton Catholic Schools,"Edmonton, AB",https://ca.indeed.com/rc/clk?jk=4df678d5f18e910a&fccid=0ada8151ee26a478&vjs=3,4.1
97,Category Business Analyst,Canadian Tire,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=c24879be6684c045&fccid=2e16043297423070&vjs=3,3.6
98,"Student Intern, Inventory & Data Analytics",Celestica,"Mississauga, ON",https://ca.indeed.com/rc/clk?jk=89e14490e085e7a8&fccid=e7e593a18b26fee3&vjs=3,3.9
99,"new
System Assembler 1",Motorola Solutions,"Richmond, BC",https://ca.indeed.com/rc/clk?jk=efc5c6a9c0558f0d&fccid=22ec6ef3cc441ac2&vjs=3,4.1
100,"new
Vice President, Head of Analytics",Fairstone,"Montréal, QC•Temporarily Remote",https://ca.indeed.com/rc/clk?jk=db2384aa14027fe5&fccid=7c90ab2e61dc366c&vjs=3,3.9
101,Merchant Data & Analytics Intern,Neo Financial,"Calgary, AB",https://ca.indeed.com/rc/clk?jk=59d7f834935775a8&fccid=9b916fc9230716d1&vjs=3,4.7
102,Fraud Data and Analytics Analyst,Meridian Credit Union,"Etobicoke, ON",https://ca.indeed.com/rc/clk?jk=9a438ab2f3ccc68b&fccid=eeee34a00b78d3ff&vjs=3,3.8
103,Analytics Client Lead and Development,Advanced Analytics and Research Lab (AAARL),"Toronto, ON•Remote",https://ca.indeed.com/rc/clk?jk=55d963f02ffab2b0&fccid=7d5418aa8bf737a7&vjs=3,None
104,Data & Analytics New Graduate Rotational Program - 2022,Scotiabank,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=f61f4139f74986fc&fccid=3002307a9e5b4706&vjs=3,3.9
105,"new
Sr. Manager, Commercial Analytics",McCain Foods (Canada),"Toronto, ON",https://ca.indeed.com/rc/clk?jk=c2fcbf307885c3dd&fccid=62877b20e947a8f1&vjs=3,3.6
106,Student - IT Systems Development,Bank of Canada,"Ottawa, ON",https://ca.indeed.com/rc/clk?jk=17b349988c56f0c0&fccid=f183060fc5182bfe&vjs=3,4.0
107,Bookkeeper,Relogix,"Ottawa, ON•Remote",https://ca.indeed.com/company/Relogix/jobs/Bookkeeper-ae1fe63732984d90?fccid=20c3bc2bb3066b33&vjs=3,2.3
108,"new
Data & Analytics - Senior Manager, Data & Analytics",Aritzia,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=762fd6910808d8da&fccid=230bf53df7c46c1a&vjs=3,3.4
109,E-Commerce Analytics Intern (Honorarium),Harry Rosen,"Toronto, ON•Remote",https://ca.indeed.com/rc/clk?jk=f195e24632ea99d6&fccid=228887a37a64b156&vjs=3,3.4
110,Intellectual Property Analyst,City of Calgary,"Calgary, AB",https://ca.indeed.com/rc/clk?jk=4adc131d3340ae8a&fccid=4fac8d665ce49365&vjs=3,4.0
111,Analytics Engineer,Wattpad,"Toronto, ON+2 locations•Remote",https://ca.indeed.com/rc/clk?jk=c8f943c7779145bf&fccid=ea2f3473c53cb525&vjs=3,4.5
112,Business Analyst (3 available posts),United Nations,"Montréal, QC",https://ca.indeed.com/rc/clk?jk=7421a6c80d600055&fccid=65ae769cb89830ec&vjs=3,4.4
113,"new
Data and Analytics Analyst",Capital Regional District,"Victoria, BC",https://ca.indeed.com/rc/clk?jk=4263c9674946a1ba&fccid=5b336b970e9690e0&vjs=3,3.4
114,"new
Manager, Marketing Analytics",RBC,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=79948f2b731bd19e&fccid=537b899e30af3338&vjs=3,4.0
115,Music Insights Analyst,TikTok,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=210983af0ccce37d&fccid=caed318a9335aac0&vjs=3,None
116,Foreign Language Intelligence Analyst (Chinese),Communications Security Establishment,"Ottawa, ON",https://ca.indeed.com/rc/clk?jk=a1e53bace0c47979&fccid=0f326773733da017&vjs=3,3.9
117,"new
Crime Analyst",City of Hamilton,"Hamilton, ON",https://ca.indeed.com/rc/clk?jk=87d2e85b7a4f4019&fccid=bc3edde79fc08191&vjs=3,4.2
118,"new
Supervisor Reporting and Analytics",Enbridge,"North York, ON",https://ca.indeed.com/rc/clk?jk=2745bd7889b9d305&fccid=221c64eea0d34f50&vjs=3,3.9
